Gene,Name
A_24_P24142,ribosomal protein S2 pseudogene 18(RPS2P18)
A_24_P246963,DEAD-box helicase 23 pseudogene(LOC400036)
A_24_P247074,#N/A
A_24_P24724,#N/A
A_24_P247454,keratin 18 pseudogene 19(KRT18P19)
A_24_P24790,ribosomal protein L21 pseudogene 18(RPL21P18)
A_24_P255303,actin related protein 2/3 complex subunit 3 pseudogene 2(ARPC3P2)
A_24_P255314,signal recognition particle 14(SRP14)
A_24_P255473,#N/A
A_24_P255845,"SPT16 homolog, facilitates chromatin remodeling subunit pseudogene 1(SUPT16HP1)"
A_24_P256037,ribosomal protein S16 pseudogene 8(RPS16P8)
A_24_P263543,small nuclear ribonucleoprotein D2 polypeptide(SNRPD2)
A_24_P272073,#N/A
A_24_P272352,actin related protein 2 pseudogene(LOC284441)
A_24_P272515,#N/A
A_24_P273043,#N/A
A_24_P280897,ribosomal protein L21(RPL21)
A_24_P281447,#N/A
A_24_P281643,#N/A
A_24_P288993,NADH:ubiquinone oxidoreductase subunit B4(NDUFB4)
A_24_P289043,#N/A
A_24_P290263,ribosomal protein L7 pseudogene 57(RPL7P57)
A_24_P306469,#N/A
A_24_P306964,#N/A
A_24_P307065,activating transcription factor 4(ATF4)
A_24_P307306,#N/A
A_24_P307384,heat shock protein family D (Hsp60) member 1 pseudogene 4(HSPD1P4)
A_24_P307486,#N/A
A_24_P315444,serine and arginine rich splicing factor 6(SRSF6)
A_24_P316074,#N/A
A_24_P32215,ADP ribosylation factor like GTPase 4A pseudogene 1(ARL4AP1)
A_24_P323635,ribosomal protein L10a pseudogene 3(RPL10AP3)
A_24_P332471,#N/A
A_24_P332482,#N/A
A_24_P33552,ribosomal protein L23a pseudogene 46(RPL23AP46)
A_24_P349547,#N/A
A_24_P349636,ribosomal protein L7 pseudogene 48(RPL7P48)
A_24_P350008,#N/A
A_24_P350307,ribosomal protein L18 pseudogene 11(RPL18P11)
A_24_P358131,#N/A
A_24_P358205,#N/A
A_24_P366165,ribosomal protein L26 pseudogene 12(RPL26P12)
A_24_P366415,peptidylprolyl isomerase A pseudogene 66(PPIAP66)
A_24_P366457,#N/A
A_24_P366845,#N/A
A_24_P374973,#N/A
A_24_P375227,ankyrin repeat domain 24(ANKRD24)
A_24_P375599,#N/A
A_24_P375683,#N/A
A_24_P383330,ribosomal protein L7a pseudogene 70(RPL7AP70)
A_24_P383598,secretion associated Ras related GTPase 1A pseudogene 3(SAR1AP3)
A_24_P384200,#N/A
A_24_P391853,#N/A
A_24_P401090,#N/A
A_24_P401100,ribosomal protein L15 pseudogene 20(RPL15P20)
A_24_P401601,keratin 18 pseudogene 40(KRT18P40)
A_24_P409402,ribosomal protein L3 pseudogene 6(RPL3P6)
A_24_P409661,#N/A
A_24_P409824,#N/A
A_24_P41149,#N/A
A_24_P417606,ribosomal protein L35 pseudogene 1(RPL35P1)
A_24_P418189,ribosomal protein S4X pseudogene 13(RPS4XP13)
A_24_P418536,ribosomal protein L6 pseudogene 2(RPL6P2)
A_24_P41939,keratin 18 pseudogene 24(KRT18P24)
A_24_P42014,#N/A
A_24_P458252,#N/A
A_24_P49597,#N/A
A_24_P49687,#N/A
A_24_P50157,ribosomal protein S12 pseudogene 9(RPS12P9)
A_24_P504621,#N/A
A_24_P50554,ribosomal protein L17 pseudogene 7(RPL17P7)
A_24_P518369,#N/A
A_24_P547010,#N/A
A_24_P562369,#N/A
A_24_P58242,#N/A
A_24_P58647,actin related protein 2/3 complex subunit 3 pseudogene 5(ARPC3P5)
A_24_P58727,peptidylprolyl isomerase A pseudogene 47(PPIAP47)
A_24_P58894,NOP56 ribonucleoprotein pseudogene 2(NOP56P2)
A_24_P59247,eukaryotic translation initiation factor 3 subunit F(EIF3F)
A_24_P603890,solute carrier family 25 member 5 pseudogene 7(SLC25A5P7)
A_24_P606663,ribosomal protein L31(RPL31)
A_24_P647682,tubulin beta pseudogene 2(TUBBP2)
A_24_P662366,#N/A
A_24_P66838,#N/A
A_24_P67408,#N/A
A_24_P67748,#N/A
A_24_P682579,#N/A
A_24_P692426,"PRAME family member 29, pseudogene(PRAMEF29P)"
A_24_P704878,#N/A
A_24_P710999,cancer/testis antigen 55 pseudogene(LOC728470)
A_24_P739582,AP2B1 pseudogene 1(AP2B1P1)
A_24_P752208,#N/A
A_24_P75456,#N/A
A_24_P75718,#N/A
A_24_P76078,#N/A
A_24_P76358,RPS3A pseudogene 36(RPS3AP36)
A_24_P767901,#N/A
A_24_P7750,#N/A
A_24_P786713,#N/A
A_24_P7934,H3.Y histone 1(H3Y1)
A_24_P833256,#N/A
A_24_P84048,ribosomal protein S3 pseudogene 6(RPS3P6)
A_24_P84401,N-6 adenine-specific DNA methyltransferase 1 (putative) pseudogene(LOC642897)
A_24_P84508,ribosomal protein L23a pseudogene 57(RPL23AP57)
A_24_P84608,#N/A
A_24_P84808,ribosomal protein L7 pseudogene 50(RPL7P50)
A_24_P84970,keratin 18 pseudogene 42(KRT18P42)
A_24_P878388,#N/A
A_24_P887857,#N/A
A_24_P917686,#N/A
A_24_P917759,#N/A
A_24_P92163,#N/A
A_24_P92267,ribosomal protein L27 pseudogene 2(RPL27P2)
A_24_P928604,ribosomal protein L18a pseudogene 4(RPL18AP4)
A_24_P93452,#N/A
A_24_P935506,#N/A
A_32_P10100,#N/A
A_32_P112752,uncharacterized LOC440084(LOC440084)
A_32_P125549,#N/A
A_32_P153979,#N/A
A_32_P18493,ribosomal protein L14 pseudogene 3(RPL14P3)
A_32_P185628,#N/A
A_32_P31992,#N/A
A_32_P53558,#N/A
A_32_P88905,#N/A
A_32_P918263,#N/A
A_33_P3209055,#N/A
A_33_P3209135,#N/A
A_33_P3209209,#N/A
A_33_P3209566,#N/A
A_33_P3209696,#N/A
A_33_P3209703,#N/A
A_33_P3210069,#N/A
A_33_P3210561,#N/A
A_33_P3210605,#N/A
A_33_P3210702,#N/A
A_33_P3210857,#N/A
A_33_P3210969,#N/A
A_33_P3210975,#N/A
A_33_P3211018,#N/A
A_33_P3211098,#N/A
A_33_P3211223,#N/A
A_33_P3211478,#N/A
A_33_P3211854,#N/A
A_33_P3211862,#N/A
A_33_P3212316,#N/A
A_33_P3212700,#N/A
A_33_P3212704,#N/A
A_33_P3212839,#N/A
A_33_P3213134,#N/A
A_33_P3213311,#N/A
A_33_P3213518,#N/A
A_33_P3213561,#N/A
A_33_P3213712,#N/A
A_33_P3214047,#N/A
A_33_P3214076,#N/A
A_33_P3214179,#N/A
A_33_P3214284,#N/A
A_33_P3214750,#N/A
A_33_P3214782,#N/A
A_33_P3215166,#N/A
A_33_P3215232,#N/A
A_33_P3215527,#N/A
A_33_P3215611,#N/A
A_33_P3215729,#N/A
A_33_P3216192,#N/A
A_33_P3216200,#N/A
A_33_P3216267,#N/A
A_33_P3216487,#N/A
A_33_P3216621,#N/A
A_33_P3216635,#N/A
A_33_P3216640,#N/A
A_33_P3216718,#N/A
A_33_P3217507,#N/A
A_33_P3217867,#N/A
A_33_P3217870,#N/A
A_33_P3218013,#N/A
A_33_P3218491,#N/A
A_33_P3218564,#N/A
A_33_P3218741,#N/A
A_33_P3218910,#N/A
A_33_P3219105,#N/A
A_33_P3219210,#N/A
A_33_P3219454,#N/A
A_33_P3220395,#N/A
A_33_P3220406,#N/A
A_33_P3220678,#N/A
A_33_P3220748,#N/A
A_33_P3220780,#N/A
A_33_P3220847,#N/A
A_33_P3220979,#N/A
A_33_P3221040,#N/A
A_33_P3221059,#N/A
A_33_P3221134,#N/A
A_33_P3221384,#N/A
A_33_P3221793,#N/A
A_33_P3221888,#N/A
A_33_P3221978,#N/A
A_33_P3221980,#N/A
A_33_P3222196,#N/A
A_33_P3222384,#N/A
A_33_P3222524,#N/A
A_33_P3222529,#N/A
A_33_P3222598,#N/A
A_33_P3222600,#N/A
A_33_P3223111,#N/A
A_33_P3223142,#N/A
A_33_P3223663,#N/A
A_33_P3223860,#N/A
A_33_P3223869,#N/A
A_33_P3224050,#N/A
A_33_P3224281,#N/A
A_33_P3224285,#N/A
A_33_P3224338,#N/A
A_33_P3224715,#N/A
A_33_P3224800,#N/A
A_33_P3224971,#N/A
A_33_P3225128,#N/A
A_33_P3225195,#N/A
A_33_P3225983,#N/A
A_33_P3226105,#N/A
A_33_P3226228,#N/A
A_33_P3226367,#N/A
A_33_P3226460,#N/A
A_33_P3226565,#N/A
A_33_P3226680,#N/A
A_33_P3226780,#N/A
A_33_P3226788,#N/A
A_33_P3227010,#N/A
A_33_P3227260,#N/A
A_33_P3227556,#N/A
A_33_P3227661,#N/A
A_33_P3227703,#N/A
A_33_P3227731,#N/A
A_33_P3228212,#N/A
A_33_P3228402,#N/A
A_33_P3228499,#N/A
A_33_P3228533,#N/A
A_33_P3228603,#N/A
A_33_P3228677,#N/A
A_33_P3228828,#N/A
A_33_P3228868,#N/A
A_33_P3229037,#N/A
A_33_P3229147,#N/A
A_33_P3229390,#N/A
A_33_P3229527,#N/A
A_33_P3229577,#N/A
A_33_P3229754,#N/A
A_33_P3229760,#N/A
A_33_P3230073,#N/A
A_33_P3230578,#N/A
A_33_P3230676,#N/A
A_33_P3231005,#N/A
A_33_P3231242,#N/A
A_33_P3231342,#N/A
A_33_P3231437,#N/A
A_33_P3231562,#N/A
A_33_P3231677,#N/A
A_33_P3232066,#N/A
A_33_P3232214,#N/A
A_33_P3232544,#N/A
A_33_P3232742,#N/A
A_33_P3233030,#N/A
A_33_P3233085,#N/A
A_33_P3233100,#N/A
A_33_P3233229,#N/A
A_33_P3233437,#N/A
A_33_P3233546,#N/A
A_33_P3233953,#N/A
A_33_P3234088,#N/A
A_33_P3234377,#N/A
A_33_P3234402,#N/A
A_33_P3234442,#N/A
A_33_P3234540,#N/A
A_33_P3234814,#N/A
A_33_P3235162,#N/A
A_33_P3235184,#N/A
A_33_P3235360,#N/A
A_33_P3235491,#N/A
A_33_P3235521,#N/A
A_33_P3235831,#N/A
A_33_P3236117,#N/A
A_33_P3236152,#N/A
A_33_P3236213,#N/A
A_33_P3236516,#N/A
A_33_P3236778,#N/A
A_33_P3237344,#N/A
A_33_P3237605,#N/A
A_33_P3237704,#N/A
A_33_P3237719,#N/A
A_33_P3237819,#N/A
A_33_P3237835,#N/A
A_33_P3238402,#N/A
A_33_P3238461,#N/A
A_33_P3238611,#N/A
A_33_P3238773,#N/A
A_33_P3238802,#N/A
A_33_P3238944,#N/A
A_33_P3239102,#N/A
A_33_P3239184,#N/A
A_33_P3239195,#N/A
A_33_P3239414,#N/A
A_33_P3239659,#N/A
A_33_P3239714,#N/A
A_33_P3239724,#N/A
A_33_P3239936,#N/A
A_33_P3240078,#N/A
A_33_P3240144,#N/A
A_33_P3240158,#N/A
A_33_P3240295,#N/A
A_33_P3240652,#N/A
A_33_P3240966,#N/A
A_33_P3241043,#N/A
A_33_P3241046,#N/A
A_33_P3241150,#N/A
A_33_P3241184,#N/A
A_33_P3241596,#N/A
A_33_P3242062,#N/A
A_33_P3242231,#N/A
A_33_P3242416,#N/A
A_33_P3242688,#N/A
A_33_P3242753,#N/A
A_33_P3243163,#N/A
A_33_P3243343,#N/A
A_33_P3243600,#N/A
A_33_P3244157,#N/A
A_33_P3244269,#N/A
A_33_P3244361,#N/A
A_33_P3244651,#N/A
A_33_P3244713,#N/A
A_33_P3244834,#N/A
A_33_P3245021,#N/A
A_33_P3245110,#N/A
A_33_P3245126,#N/A
A_33_P3245131,#N/A
A_33_P3245133,#N/A
A_33_P3245620,#N/A
A_33_P3245660,#N/A
A_33_P3245907,#N/A
A_33_P3246413,#N/A
A_33_P3246699,#N/A
A_33_P3246780,#N/A
A_33_P3246995,#N/A
A_33_P3247068,#N/A
A_33_P3247072,#N/A
A_33_P3247077,#N/A
A_33_P3247210,#N/A
A_33_P3247689,#N/A
A_33_P3247783,#N/A
A_33_P3247919,#N/A
A_33_P3248077,#N/A
A_33_P3248222,#N/A
A_33_P3248774,#N/A
A_33_P3248939,#N/A
A_33_P3248948,#N/A
A_33_P3248997,#N/A
A_33_P3249002,#N/A
A_33_P3249066,#N/A
A_33_P3249897,#N/A
A_33_P3250263,#N/A
A_33_P3250323,#N/A
A_33_P3250669,#N/A
A_33_P3250767,#N/A
A_33_P3251209,#N/A
A_33_P3251252,#N/A
A_33_P3251408,#N/A
A_33_P3251412,#N/A
A_33_P3251557,#N/A
A_33_P3251856,#N/A
A_33_P3251868,#N/A
A_33_P3252134,#N/A
A_33_P3252279,#N/A
A_33_P3252444,#N/A
A_33_P3252491,#N/A
A_33_P3252594,#N/A
A_33_P3252685,#N/A
A_33_P3253179,#N/A
A_33_P3253209,#N/A
A_33_P3253420,#N/A
A_33_P3253605,#N/A
A_33_P3253717,#N/A
A_33_P3253812,#N/A
A_33_P3253857,#N/A
A_33_P3253892,#N/A
A_33_P3253902,#N/A
A_33_P3254580,#N/A
A_33_P3254675,#N/A
A_33_P3254831,#N/A
A_33_P3255046,#N/A
A_33_P3255056,#N/A
A_33_P3255065,#N/A
A_33_P3255070,#N/A
A_33_P3255226,#N/A
A_33_P3255677,#N/A
A_33_P3255824,#N/A
A_33_P3256083,#N/A
A_33_P3256293,#N/A
A_33_P3256565,#N/A
A_33_P3256620,#N/A
A_33_P3256655,#N/A
A_33_P3256888,#N/A
A_33_P3257050,#N/A
A_33_P3257755,#N/A
A_33_P3257944,#N/A
A_33_P3258561,#N/A
A_33_P3258732,#N/A
A_33_P3258752,#N/A
A_33_P3258846,#N/A
A_33_P3259239,#N/A
A_33_P3259560,#N/A
A_33_P3259750,#N/A
A_33_P3259902,#N/A
A_33_P3259954,#N/A
A_33_P3260021,#N/A
A_33_P3260455,#N/A
A_33_P3260868,#N/A
A_33_P3261024,#N/A
A_33_P3261074,#N/A
A_33_P3261097,#N/A
A_33_P3261428,#N/A
A_33_P3261706,#N/A
A_33_P3262022,#N/A
A_33_P3262074,#N/A
A_33_P3262108,#N/A
A_33_P3262128,#N/A
A_33_P3262167,#N/A
A_33_P3262217,#N/A
A_33_P3262327,#N/A
A_33_P3262537,#N/A
A_33_P3262600,#N/A
A_33_P3263157,#N/A
A_33_P3263198,#N/A
A_33_P3263202,#N/A
A_33_P3263274,#N/A
A_33_P3263293,#N/A
A_33_P3263512,#N/A
A_33_P3263747,#N/A
A_33_P3263989,#N/A
A_33_P3264399,#N/A
A_33_P3264424,#N/A
A_33_P3264524,#N/A
A_33_P3264533,#N/A
A_33_P3264746,#N/A
A_33_P3264940,#N/A
A_33_P3264955,#N/A
A_33_P3264960,#N/A
A_33_P3265205,#N/A
A_33_P3265249,#N/A
A_33_P3265254,#N/A
A_33_P3265260,#N/A
A_33_P3265264,#N/A
A_33_P3265419,#N/A
A_33_P3265539,#N/A
A_33_P3265624,#N/A
A_33_P3265866,#N/A
A_33_P3265935,#N/A
A_33_P3265941,#N/A
A_33_P3266091,#N/A
A_33_P3266609,#N/A
A_33_P3266614,#N/A
A_33_P3266889,#N/A
A_33_P3268161,#N/A
A_33_P3268167,#N/A
A_33_P3268219,#N/A
A_33_P3268294,#N/A
A_33_P3268395,#N/A
A_33_P3268408,#N/A
A_33_P3269049,#N/A
A_33_P3269373,#N/A
A_33_P3269380,#N/A
A_33_P3269528,#N/A
A_33_P3269862,#N/A
A_33_P3270417,#N/A
A_33_P3270474,#N/A
A_33_P3270593,#N/A
A_33_P3270639,#N/A
A_33_P3270966,#N/A
A_33_P3271126,#N/A
A_33_P3271187,#N/A
A_33_P3271885,#N/A
A_33_P3272456,#N/A
A_33_P3272513,#N/A
A_33_P3272520,#N/A
A_33_P3273399,#N/A
A_33_P3273752,#N/A
A_33_P3273802,#N/A
A_33_P3273911,#N/A
A_33_P3274001,#N/A
A_33_P3274006,#N/A
A_33_P3274080,#N/A
A_33_P3274090,#N/A
A_33_P3274184,#N/A
A_33_P3274189,#N/A
A_33_P3274349,#N/A
A_33_P3274422,#N/A
A_33_P3274710,#N/A
A_33_P3274763,#N/A
A_33_P3275163,#N/A
A_33_P3275415,#N/A
A_33_P3275651,#N/A
A_33_P3276062,#N/A
A_33_P3276087,#N/A
A_33_P3276217,#N/A
A_33_P3276386,#N/A
A_33_P3276758,#N/A
A_33_P3276808,#N/A
A_33_P3276868,#N/A
A_33_P3276927,#N/A
A_33_P3277060,#N/A
A_33_P3277323,#N/A
A_33_P3277679,#N/A
A_33_P3277758,#N/A
A_33_P3277805,#N/A
A_33_P3277952,#N/A
A_33_P3278152,#N/A
A_33_P3278191,#N/A
A_33_P3278303,#N/A
A_33_P3278501,#N/A
A_33_P3278684,#N/A
A_33_P3279381,#N/A
A_33_P3279388,#N/A
A_33_P3279392,#N/A
A_33_P3279456,#N/A
A_33_P3279526,#N/A
A_33_P3279984,#N/A
A_33_P3280325,#N/A
A_33_P3280355,#N/A
A_33_P3280412,#N/A
A_33_P3280502,#N/A
A_33_P3280549,#N/A
A_33_P3280709,#N/A
A_33_P3281176,#N/A
A_33_P3281303,#N/A
A_33_P3281373,#N/A
A_33_P3281478,#N/A
A_33_P3281563,#N/A
A_33_P3281716,#N/A
A_33_P3281765,#N/A
A_33_P3281867,#N/A
A_33_P3282213,#N/A
A_33_P3282624,#N/A
A_33_P3282649,#N/A
A_33_P3282744,#N/A
A_33_P3283064,#N/A
A_33_P3283117,#N/A
A_33_P3283167,#N/A
A_33_P3283350,#N/A
A_33_P3283490,#N/A
A_33_P3283535,#N/A
A_33_P3283646,#N/A
A_33_P3283700,#N/A
A_33_P3283734,#N/A
A_33_P3284117,#N/A
A_33_P3284295,#N/A
A_33_P3284611,#N/A
A_33_P3284873,#N/A
A_33_P3285097,#N/A
A_33_P3285371,#N/A
A_33_P3285754,#N/A
A_33_P3285769,#N/A
A_33_P3286101,#N/A
A_33_P3286499,#N/A
A_33_P3286699,#N/A
A_33_P3286709,#N/A
A_33_P3286789,#N/A
A_33_P3287238,#N/A
A_33_P3287310,#N/A
A_33_P3287314,#N/A
A_33_P3287388,#N/A
A_33_P3287897,#N/A
A_33_P3288079,#N/A
A_33_P3288275,#N/A
A_33_P3288814,#N/A
A_33_P3288919,#N/A
A_33_P3289144,#N/A
A_33_P3289391,#N/A
A_33_P3289466,#N/A
A_33_P3289976,#N/A
A_33_P3290149,#N/A
A_33_P3290610,#N/A
A_33_P3291150,#N/A
A_33_P3291160,#N/A
A_33_P3291662,#N/A
A_33_P3291772,#N/A
A_33_P3291836,#N/A
A_33_P3292138,#N/A
A_33_P3292158,#N/A
A_33_P3292208,#N/A
A_33_P3292218,#N/A
A_33_P3292241,#N/A
A_33_P3292994,#N/A
A_33_P3293265,#N/A
A_33_P3293307,#N/A
A_33_P3293466,#N/A
A_33_P3293645,#N/A
A_33_P3293698,#N/A
A_33_P3293734,#N/A
A_33_P3294078,#N/A
A_33_P3294089,#N/A
A_33_P3294103,#N/A
A_33_P3294314,#N/A
A_33_P3294415,#N/A
A_33_P3294440,#N/A
A_33_P3294730,#N/A
A_33_P3295071,#N/A
A_33_P3295077,#N/A
A_33_P3295623,#N/A
A_33_P3295705,#N/A
A_33_P3295932,#N/A
A_33_P3296099,#N/A
A_33_P3296313,#N/A
A_33_P3296348,#N/A
A_33_P3296696,#N/A
A_33_P3296721,#N/A
A_33_P3296769,#N/A
A_33_P3297150,#N/A
A_33_P3297160,#N/A
A_33_P3297310,#N/A
A_33_P3297452,#N/A
A_33_P3297618,#N/A
A_33_P3297808,#N/A
A_33_P3297818,#N/A
A_33_P3297834,#N/A
A_33_P3298251,#N/A
A_33_P3298267,#N/A
A_33_P3298398,#N/A
A_33_P3298552,#N/A
A_33_P3298612,#N/A
A_33_P3298975,#N/A
A_33_P3298980,#N/A
A_33_P3299042,#N/A
A_33_P3299047,#N/A
A_33_P3299125,#N/A
A_33_P3299130,#N/A
A_33_P3299250,#N/A
A_33_P3299349,#N/A
A_33_P3299436,#N/A
A_33_P3299750,#N/A
A_33_P3299972,#N/A
A_33_P3300022,#N/A
A_33_P3300032,#N/A
A_33_P3300117,#N/A
A_33_P3300179,#N/A
A_33_P3300877,#N/A
A_33_P3301095,#N/A
A_33_P3301097,#N/A
A_33_P3301129,#N/A
A_33_P3301445,#N/A
A_33_P3301509,#N/A
A_33_P3303469,#N/A
A_33_P3303557,#N/A
A_33_P3303562,#N/A
A_33_P3303752,#N/A
A_33_P3304081,#N/A
A_33_P3304092,#N/A
A_33_P3304097,#N/A
A_33_P3304182,#N/A
A_33_P3304369,#N/A
A_33_P3304748,#N/A
A_33_P3304769,#N/A
A_33_P3304819,#N/A
A_33_P3304998,#N/A
A_33_P3305208,#N/A
A_33_P3305325,#N/A
A_33_P3305335,#N/A
A_33_P3305438,#N/A
A_33_P3305526,#N/A
A_33_P3305710,#N/A
A_33_P3305775,#N/A
A_33_P3305820,#N/A
A_33_P3305973,#N/A
A_33_P3306063,#N/A
A_33_P3306327,#N/A
A_33_P3306339,#N/A
A_33_P3306526,#N/A
A_33_P3307063,#N/A
A_33_P3307192,#N/A
A_33_P3307402,#N/A
A_33_P3307408,#N/A
A_33_P3308153,#N/A
A_33_P3308553,#N/A
A_33_P3309643,#N/A
A_33_P3309656,#N/A
A_33_P3309684,#N/A
A_33_P3309792,#N/A
A_33_P3309849,#N/A
A_33_P3310198,#N/A
A_33_P3310401,#N/A
A_33_P3310409,#N/A
A_33_P3310588,#N/A
A_33_P3310751,#N/A
A_33_P3310754,#N/A
A_33_P3311001,#N/A
A_33_P3311308,#N/A
A_33_P3311646,#N/A
A_33_P3311648,#N/A
A_33_P3311711,#N/A
A_33_P3311911,#N/A
A_33_P3311966,#N/A
A_33_P3312044,#N/A
A_33_P3312147,#N/A
A_33_P3312187,#N/A
A_33_P3312209,#N/A
A_33_P3312564,#N/A
A_33_P3312774,#N/A
A_33_P3312784,#N/A
A_33_P3313075,#N/A
A_33_P3313323,#N/A
A_33_P3313552,#N/A
A_33_P3313640,#N/A
A_33_P3313652,#N/A
A_33_P3313695,#N/A
A_33_P3313940,#N/A
A_33_P3314091,#N/A
A_33_P3314121,#N/A
A_33_P3314352,#N/A
A_33_P3314574,#N/A
A_33_P3314710,#N/A
A_33_P3314828,#N/A
A_33_P3315027,#N/A
A_33_P3315074,#N/A
A_33_P3315624,#N/A
A_33_P3315704,#N/A
A_33_P3315824,#N/A
A_33_P3315836,#N/A
A_33_P3315899,#N/A
A_33_P3315915,#N/A
A_33_P3316178,#N/A
A_33_P3316248,#N/A
A_33_P3316261,#N/A
A_33_P3316329,#N/A
A_33_P3316379,#N/A
A_33_P3316671,#N/A
A_33_P3316691,#N/A
A_33_P3316696,#N/A
A_33_P3317431,#N/A
A_33_P3317473,#N/A
A_33_P3317548,#N/A
A_33_P3317761,#N/A
A_33_P3317942,#N/A
A_33_P3318069,#N/A
A_33_P3318227,#N/A
A_33_P3318766,#N/A
A_33_P3318781,#N/A
A_33_P3319502,#N/A
A_33_P3319937,#N/A
A_33_P3320212,#N/A
A_33_P3320241,#N/A
A_33_P3320283,#N/A
A_33_P3320408,#N/A
A_33_P3320415,#N/A
A_33_P3320418,#N/A
A_33_P3320698,#N/A
A_33_P3320708,#N/A
A_33_P3321120,#N/A
A_33_P3321564,#N/A
A_33_P3321682,#N/A
A_33_P3321923,#N/A
A_33_P3322103,#N/A
A_33_P3322211,#N/A
A_33_P3322466,#N/A
A_33_P3322504,#N/A
A_33_P3322730,#N/A
A_33_P3322884,#N/A
A_33_P3323054,#N/A
A_33_P3323544,#N/A
A_33_P3323641,#N/A
A_33_P3323678,#N/A
A_33_P3323687,#N/A
A_33_P3323892,#N/A
A_33_P3323914,#N/A
A_33_P3323975,#N/A
A_33_P3323989,#N/A
A_33_P3324149,#N/A
A_33_P3324284,#N/A
A_33_P3324552,#N/A
A_33_P3324675,#N/A
A_33_P3324680,#N/A
A_33_P3324687,#N/A
A_33_P3324781,#N/A
A_33_P3324899,#N/A
A_33_P3324904,#N/A
A_33_P3324974,#N/A
A_33_P3325011,#N/A
A_33_P3325097,#N/A
A_33_P3325250,#N/A
A_33_P3325330,#N/A
A_33_P3325336,#N/A
A_33_P3325808,#N/A
A_33_P3325826,#N/A
A_33_P3325851,#N/A
A_33_P3325948,#N/A
A_33_P3326312,#N/A
A_33_P3326439,#N/A
A_33_P3326802,#N/A
A_33_P3326817,#N/A
A_33_P3326827,#N/A
A_33_P3326872,#N/A
A_33_P3326898,#N/A
A_33_P3326942,#N/A
A_33_P3327140,#N/A
A_33_P3327208,#N/A
A_33_P3327250,#N/A
A_33_P3327336,#N/A
A_33_P3327491,#N/A
A_33_P3327799,#N/A
A_33_P3327971,#N/A
A_33_P3328284,#N/A
A_33_P3328289,#N/A
A_33_P3328543,#N/A
A_33_P3328564,#N/A
A_33_P3328619,#N/A
A_33_P3328751,#N/A
A_33_P3328958,#N/A
A_33_P3329038,#N/A
A_33_P3329104,#N/A
A_33_P3329123,#N/A
A_33_P3329133,#N/A
A_33_P3329352,#N/A
A_33_P3329461,#N/A
A_33_P3329740,#N/A
A_33_P3329908,#N/A
A_33_P3329991,#N/A
A_33_P3330084,#N/A
A_33_P3330413,#N/A
A_33_P3330761,#N/A
A_33_P3330877,#N/A
A_33_P3330944,#N/A
